id_tipo_E;n_tipo_E;id_actividad
1-Cn;FUENTE DE SODA;Ac-1
2-Cn;RESTAURANTE;Ac-1
3-Cn;SALA DE RECEPCIONES Y BANQUETES;Ac-2
4-Cn;HOTEL;Ac-3
5-Cn;HOSTERÍA;Ac-3
6-Cn;CASA DE HUÉSPEDES;Ac-3
7-Cn;CAFETERÍA;Ac-1
8-Cn;HOSTAL;Ac-3
9-Cn;BAR;Ac-1
10-Cn;TERMAS Y BALNEARIOS;Ac-4
11-Cn;DISCOTECA;Ac-1
12-Cn;SALA DE BAILE;Ac-2
13-Cn;CENTRO DE RECREACIÓN TURÍSTICA;Ac-2
14-Cn;LODGE;Ac-3
15-Cn;HACIENDA TURÍSTICA;Ac-3
16-Cn;REFUGIO;Ac-3
17-Cn;AGENCIA DE VIAJES INTERNACIONAL;Ac-5
18-Cn;AGENCIA DE VIAJES DUAL;Ac-5
19-Cn;TRANSPORTE TERRESTRE;Ac-6
20-Cn;OPERADOR TURÍSTICO;Ac-5
21-Cn;CENTRO DE CONVENCIONES;Ac-2
22-Cn;BOLERA;Ac-4
23-Cn;AGENCIA DE VIAJES MAYORISTA;Ac-5
24-Cn;CAMPAMENTO TURÍSTICO;Ac-3
25-Cn;CENTRO DE TURISMO COMUNITARIO;Ac-7
26-Cn;ESTABLECIMIENTO MÓVIL;Ac-1
27-Cn;PLAZAS DE COMIDA;Ac-1
28-Cn;TRANSPORTE MARITIMO Y FLUVIAL;Ac-6
29-Cn;PEÑA;Ac-2
30-Cn;RESORT;Ac-3
31-Cn;ORGANIZADORES DE EVENTOS, CONGRESOS Y CONVENCIONES;Ac-2
32-Cn;HOSTAL RESIDENCIA;Ac-3
33-Cn;TRANSPORTE AÉREO;Ac-6
34-Cn;SERVICIO DE CATERING;Ac-1
35-Cn;PENSION;Ac-3
36-Cn;PISTA DE PATINAJE;Ac-4
37-Cn;CABAÑA;Ac-3
