id_aeropuerto;aeropuerto_Dis;id_caton 
Arp-1;Aeropuerto Coronel Edmundo Carvajal;1-Ct
Arp-2;Aeropuerto Internacional Mariscal Sucre - Aeropuerto Tababela;4-Ct
Arp-3;Aeropuerto Internacional José Joaquín de Olmedo;5-Ct
Arp-4;Aeropuerto de Tena-Jumandy;7-Ct
Arp-5;Aeropuerto Internacional Eloy Alfaro;28-Ct
Arp-6;Aeropuerto Regional Chachoán -Aeropuerto Izamba;42-Ct
Arp-7;Aeropuerto De Latacunga;70-Ct
Arp-8;Aeroporto Los Perales;86-Ct
Arp-9;Aeropuerto Internacional Coronel Carlos Concha Torres;93-Ct
Arp-10;Aeropuerto Ciudad de Catamayo;100-Ct
Arp-11;Aeropuerto Regional de Santa Rosa;133-Ct
Arp-12;Aeropuerto José María Velasco Ibarra;141-Ct
